"date","year","home_team","away_team","team","scorer","minute","own_goal","penalty","goal_owner","home_goals","away_goals"
"1921-10-23","1921",Brazil,Uruguay,Uruguay,Ángel Romano,8.0,False,False,away_team,1,2
"1921-10-30","1921",Argentina,Uruguay,Argentina,Julio Libonatti,57.0,False,False,home_team,1,0
"1922-09-17","1922",Brazil,Chile,Brazil,Altino Marcondes,9.0,False,False,home_team,1,1
"1922-09-17","1922",Brazil,Chile,Chile,Manuel Bravo Paredes,41.0,False,False,away_team,1,1
"1922-09-23","1922",Chile,Uruguay,Uruguay,Juan Carlos Heguy,10.0,False,False,away_team,0,2
"1922-09-23","1922",Chile,Uruguay,Uruguay,Antonio Urdinarán,19.0,False,True,away_team,0,2
"1922-09-24","1922",Brazil,Paraguay,Brazil,Amílcar Barbuy,14.0,False,False,home_team,1,1
"1922-09-24","1922",Brazil,Paraguay,Paraguay,Gerardo Rivas,71.0,False,False,away_team,1,1
"1922-09-28","1922",Argentina,Chile,Argentina,Angel Chiessa,10.0,False,False,home_team,4,0
"1922-09-28","1922",Argentina,Chile,Argentina,Julio Francia,36.0,False,False,home_team,4,0
"1922-09-28","1922",Argentina,Chile,Argentina,Julio Francia,41.0,False,False,home_team,4,0
"1922-09-28","1922",Argentina,Chile,Argentina,José Gaslini,75.0,False,False,home_team,4,0
"1922-10-05","1922",Chile,Paraguay,Paraguay,Julio Ramírez,5.0,False,False,away_team,0,3
"1922-10-05","1922",Chile,Paraguay,Paraguay,Ildefonso López,78.0,False,False,away_team,0,3
"1922-10-05","1922",Chile,Paraguay,Paraguay,Luis Fretes,86.0,False,False,away_team,0,3
"1922-10-08","1922",Argentina,Uruguay,Uruguay,Felipe Buffoni,43.0,False,False,away_team,0,1
"1922-10-12","1922",Paraguay,Uruguay,Paraguay,Carlos Elizeche,7.0,False,False,home_team,1,0
"1922-10-15","1922",Brazil,Argentina,Brazil,Neco,42.0,False,False,home_team,2,0
"1922-10-15","1922",Brazil,Argentina,Brazil,Amílcar Barbuy,86.0,False,True,home_team,2,0
"1922-10-18","1922",Argentina,Paraguay,Argentina,Julio Francia,63.0,False,False,home_team,2,0
"1922-10-18","1922",Argentina,Paraguay,Argentina,Julio Francia,79.0,False,True,home_team,2,0
"1922-10-22","1922",Brazil,Paraguay,Brazil,Neco,11.0,False,False,home_team,3,0
"1922-10-22","1922",Brazil,Paraguay,Brazil,Xavier Camargo,48.0,False,False,home_team,3,0
"1922-10-22","1922",Brazil,Paraguay,Brazil,Xavier Camargo,89.0,False,False,home_team,3,0
"1923-10-29","1923",Argentina,Paraguay,Argentina,Blas Saruppo,18.0,False,False,home_team,4,3
"1923-10-29","1923",Argentina,Paraguay,Argentina,Vicente Aguirre,58.0,False,False,home_team,4,3
"1923-10-29","1923",Argentina,Paraguay,Argentina,Vicente Aguirre,77.0,False,False,home_team,4,3
"1923-10-29","1923",Argentina,Paraguay,Argentina,Vicente Aguirre,86.0,False,False,home_team,4,3
"1923-10-29","1923",Argentina,Paraguay,Paraguay,Gerardo Rivas,10.0,False,False,away_team,4,3
"1923-10-29","1923",Argentina,Paraguay,Paraguay,Agustín Zelada,49.0,False,False,away_team,4,3
"1923-10-29","1923",Argentina,Paraguay,Paraguay,Luis Fretes,65.0,False,False,away_team,4,3
"1923-11-04","1923",Uruguay,Paraguay,Uruguay,Héctor Scarone,11.0,False,False,home_team,2,0
"1923-11-04","1923",Uruguay,Paraguay,Uruguay,Pedro Petrone,87.0,False,False,home_team,2,0
"1923-11-11","1923",Brazil,Paraguay,Paraguay,Ildefonso López,56.0,False,False,away_team,0,1
"1923-11-18","1923",Argentina,Brazil,Argentina,Cesáreo Onzari,11.0,False,False,home_team,2,1
"1923-11-18","1923",Argentina,Brazil,Argentina,Blas Saruppo,76.0,False,False,home_team,2,1
"1923-11-18","1923",Argentina,Brazil,Brazil,Nilo Braga,15.0,False,False,away_team,2,1
"1923-11-25","1923",Uruguay,Brazil,Brazil,Nilo Braga,59.0,False,False,away_team,2,1
"1923-11-25","1923",Uruguay,Brazil,Uruguay,Pedro Petrone,56.0,False,False,home_team,2,1
"1923-11-25","1923",Uruguay,Brazil,Uruguay,José Cea,75.0,False,False,home_team,2,1
"1923-12-02","1923",Uruguay,Argentina,Uruguay,Pedro Petrone,28.0,False,False,home_team,2,0
"1923-12-02","1923",Uruguay,Argentina,Uruguay,Pascual Somma,88.0,False,False,home_team,2,0
"1924-10-19","1924",Uruguay,Chile,Uruguay,Pedro Petrone,40.0,False,False,home_team,5,0
"1924-10-19","1924",Uruguay,Chile,Uruguay,Pedro Petrone,53.0,False,False,home_team,5,0
"1924-10-19","1924",Uruguay,Chile,Uruguay,Pedro Zingone,73.0,False,False,home_team,5,0
"1924-10-19","1924",Uruguay,Chile,Uruguay,Ángel Romano,78.0,False,False,home_team,5,0
"1924-10-19","1924",Uruguay,Chile,Uruguay,Pedro Petrone,88.0,False,False,home_team,5,0
"1924-10-25","1924",Argentina,Chile,Argentina,Gabino Sosa,5.0,False,False,home_team,2,0
"1924-10-25","1924",Argentina,Chile,Argentina,Juan Loyarte,78.0,False,False,home_team,2,0
"1924-10-26","1924",Uruguay,Paraguay,Paraguay,Paisano Urbita Sosa,77.0,False,False,away_team,3,1
"1924-10-26","1924",Uruguay,Paraguay,Uruguay,Pedro Petrone,28.0,False,False,home_team,3,1
"1924-10-26","1924",Uruguay,Paraguay,Uruguay,Ángel Romano,37.0,False,False,home_team,3,1
"1924-10-26","1924",Uruguay,Paraguay,Uruguay,José Cea,53.0,False,False,home_team,3,1
"1924-11-01","1924",Chile,Paraguay,Chile,David Arellano,6.0,False,False,home_team,1,3
"1924-11-01","1924",Chile,Paraguay,Paraguay,Ildefonso López,15.0,False,False,away_team,1,3
"1924-11-01","1924",Chile,Paraguay,Paraguay,Ildefonso López,33.0,False,False,away_team,1,3
"1924-11-01","1924",Chile,Paraguay,Paraguay,Gerardo Rivas,52.0,False,False,away_team,1,3
"1925-11-29","1925",Argentina,Paraguay,Argentina,Manuel Seoane,2.0,False,False,home_team,2,0
"1925-11-29","1925",Argentina,Paraguay,Argentina,Martin Sánchez,72.0,False,False,home_team,2,0
"1925-12-06","1925",Brazil,Paraguay,Brazil,Anfilogino Marques,16.0,False,False,home_team,5,2
"1925-12-06","1925",Brazil,Paraguay,Brazil,Arthur Friedenreich,18.0,False,False,home_team,5,2
"1925-12-06","1925",Brazil,Paraguay,Brazil,Severino Da Silva,30.0,False,False,home_team,5,2
"1925-12-06","1925",Brazil,Paraguay,Brazil,Severino Da Silva,52.0,False,False,home_team,5,2
"1925-12-06","1925",Brazil,Paraguay,Brazil,Nilo Braga,72.0,False,False,home_team,5,2
"1925-12-06","1925",Brazil,Paraguay,Paraguay,Gerardo Rivas,25.0,False,False,away_team,5,2
"1925-12-06","1925",Brazil,Paraguay,Paraguay,Gerardo Rivas,55.0,False,False,away_team,5,2
"1925-12-13","1925",Argentina,Brazil,Argentina,Manuel Seoane,41.0,False,False,home_team,4,1
"1925-12-13","1925",Argentina,Brazil,Argentina,Manuel Seoane,48.0,False,False,home_team,4,1
"1925-12-13","1925",Argentina,Brazil,Argentina,Alfredo Garasini,72.0,False,False,home_team,4,1
"1925-12-13","1925",Argentina,Brazil,Argentina,Manuel Seoane,74.0,False,False,home_team,4,1
"1925-12-13","1925",Argentina,Brazil,Brazil,Nilo Braga,22.0,False,False,away_team,4,1
"1925-12-17","1925",Brazil,Paraguay,Brazil,Nilo Braga,30.0,False,False,home_team,3,1
"1925-12-17","1925",Brazil,Paraguay,Brazil,Severino Da Silva,57.0,False,False,home_team,3,1
"1925-12-17","1925",Brazil,Paraguay,Brazil,Severino Da Silva,61.0,False,False,home_team,3,1
"1925-12-17","1925",Brazil,Paraguay,Paraguay,Luis Fretes,58.0,False,False,away_team,3,1
"1925-12-20","1925",Argentina,Paraguay,Argentina,Domingo Tarasconi,22.0,False,False,home_team,3,1
"1925-12-20","1925",Argentina,Paraguay,Argentina,Manuel Seoane,32.0,False,False,home_team,3,1
"1925-12-20","1925",Argentina,Paraguay,Argentina,Juan Carlos Irurieta,63.0,False,False,home_team,3,1
"1925-12-20","1925",Argentina,Paraguay,Paraguay,Manuel Fleitas Solich,15.0,False,False,away_team,3,1
"1925-12-25","1925",Argentina,Brazil,Argentina,Antonio Cerroti,41.0,False,False,home_team,2,2
"1925-12-25","1925",Argentina,Brazil,Argentina,Manuel Seoane,55.0,False,False,home_team,2,2
"1925-12-25","1925",Argentina,Brazil,Brazil,Arthur Friedenreich,27.0,False,False,away_team,2,2
"1925-12-25","1925",Argentina,Brazil,Brazil,Nilo Braga,30.0,False,False,away_team,2,2
"1926-10-12","1926",Chile,Bolivia,Bolivia,Teófilo Aguilar,62.0,False,False,away_team,7,1
"1926-10-12","1926",Chile,Bolivia,Chile,Manuel Ramírez,10.0,False,False,home_team,7,1
"1926-10-12","1926",Chile,Bolivia,Chile,Guillermo Subiabre,14.0,False,False,home_team,7,1
"1926-10-12","1926",Chile,Bolivia,Chile,David Arellano,15.0,False,False,home_team,7,1
"1926-10-12","1926",Chile,Bolivia,Chile,David Arellano,41.0,False,False,home_team,7,1
"1926-10-12","1926",Chile,Bolivia,Chile,Humberto Moreno,47.0,False,False,home_team,7,1
"1926-10-12","1926",Chile,Bolivia,Chile,David Arellano,80.0,False,False,home_team,7,1
"1926-10-12","1926",Chile,Bolivia,Chile,David Arellano,84.0,False,False,home_team,7,1
"1926-10-16","1926",Argentina,Bolivia,Argentina,Roberto Cherro,9.0,False,False,home_team,5,0
